id,q44_%dd,q44_%dr,q44_%dtotal,
30111,1,Senate,0,
30111,1,House,0,
53029,2,House,3,
53031,6,House,0,
53033,1,House,3,
53033,2,House,0,
53033,7,House,25,
53033,8,House,9,
53033,9,House,6,
53035,1,House,2,
53035,5,,None,
53037,4,House,3,
53039,4,House,0,
53041,3,House,5,
53043,5,House,2,
53045,6,House,3,
53047,5,House,5,
53049,3,House,4,
53051,0,Senate,None,
53051,5,House,1,
53053,6,House,12,
53053,8,House,2,
53053,9,House,4,
53055,2,House,1,
53057,2,House,4,
53059,3,House,1,
53059,4,House,0,
53061,1,House,32,
53061,2,House,32,
53063,5,House,5,
53065,5,House,41,
53067,3,House,3,
53067,9,House,4,
53069,3,House,0,
53071,5,House,2,
53073,2,House,12,
53075,5,House,17,
53077,4,House,1,
56001,1,Senate,5,
56001,1,House,10,
56003,1,Senate,1,
56003,1,House,2,
56005,1,Senate,4,
56005,1,House,6,
56007,1,Senate,0,
56007,1,House,3,
56009,1,Senate,2,
56009,1,House,5,
56011,1,Senate,0,
56011,1,House,4,
56013,1,Senate,6,
56013,1,House,5,
56015,1,Senate,0,
56015,1,House,1,
56017,1,Senate,0,
56017,1,House,1,
56019,1,Senate,1,
56019,1,House,10,
56021,1,Senate,13,
56021,1,House,20,
56023,1,Senate,4,
56023,1,House,5,
56025,1,Senate,4,
56025,1,House,18,
56027,1,Senate,0,
56027,1,House,0,
56029,1,Senate,7,
56029,1,House,5,
56031,1,Senate,1,
56031,1,House,1,
56033,1,Senate,4,
56033,1,House,7,
56035,1,Senate,0,
56035,1,House,0,
56037,1,Senate,1,
56037,1,House,11,
56039,1,Senate,3,
56039,1,House,3,
56041,1,Senate,3,
56041,1,House,3,
56043,1,Senate,0,
56043,1,House,1,
56045,1,Senate,1,
56045,1,House,3,
60,1,House,0,
01001,2,House,0,
01005,2,House,0,
01007,6,House,0,
01009,1,House,None,
01011,2,House,0,
01013,2,House,0,
01015,3,House,0,
01017,3,House,None,
01019,3,House,0,
01021,6,House,0,
01025,1,House,0,
01025,7,House,0,
01029,3,House,0,
01031,2,House,0,
01033,5,House,0,
01035,2,House,0,
01037,3,House,0,
01039,2,House,0,
01041,2,House,0,
01045,2,House,0,
01047,7,House,0,
01049,4,House,0,
01051,2,House,0,
01053,1,House,0,
01055,4,House,0,
01059,4,House,0,
01061,2,House,0,
01063,7,House,0,
01065,7,House,0,
01067,2,House,0,
01069,2,House,0,
01071,5,House,0,
01075,4,House,0,
01079,5,House,0,
01081,3,House,0,
01083,5,House,0,
01085,2,House,0,
01087,3,House,0,
01089,5,House,0,
01091,7,House,0,
01093,4,House,0,
01095,4,House,0,
01097,1,House,2,
01101,4,,None,
01103,4,House,0,
01103,5,House,0,
01105,7,House,0,
01107,4,House,0,
01107,7,House,0,
01109,2,House,0,
01111,3,House,0,
01113,3,House,0,
01115,4,House,0,
01115,6,House,0,
01117,6,House,0,
01119,7,House,0,
01121,3,House,0,
01123,3,House,0,
01127,4,House,0,
01129,1,House,0,
01131,7,House,0,
01133,4,House,0,
01027,0,House,3,
01057,4,House,0,
05001,1,House,0,
05003,4,House,0,
05005,1,House,1,
05007,3,House,19,
05009,3,House,0,
05011,4,House,0,
05013,4,House,0,
05015,3,House,3,
05017,4,House,2,
05019,4,House,0,
05021,1,House,0,
05023,1,House,0,
05025,4,House,0,
05027,4,House,0,
05029,2,House,0,
05031,1,House,3,
05033,3,House,0,
05035,1,House,0,
05037,1,House,1,
05039,4,House,0,
05041,4,House,0,
05043,4,Senate,0,
05045,2,House,0,
05047,3,House,0,
05049,1,House,0,
05051,4,House,0,
05053,4,House,0,
05055,1,House,0,
05057,4,House,1,
05059,4,House,0,
05061,4,House,0,
05063,1,House,0,
05065,1,House,0,
05067,1,House,1,
05069,4,House,0,
05071,3,House,0,
05073,4,House,0,
05075,1,House,0,
05077,1,House,3,
05079,4,House,0,
05081,4,House,1,
05083,4,House,7,
05085,1,House,0,
05087,3,House,1,
05089,3,House,0,
05091,4,House,0,
05093,1,House,0,
05095,1,House,2,
05097,4,House,0,
05099,4,House,0,
05101,3,House,0,
05103,4,House,0,
05105,2,House,0,
05107,1,House,0,
05109,4,House,0,
05111,1,House,4,
05113,4,House,0,
05115,3,House,0,
05117,1,House,0,
05119,2,House,5,
05121,1,House,0,
05123,1,House,18,
05125,2,House,11,
05127,4,House,4,
05129,1,House,0,
05131,3,House,3,
05133,4,House,0,
05135,1,House,0,
05137,1,House,6,
05139,4,House,0,
05141,2,House,0,
05143,3,House,4,
05145,2,House,0,
05147,1,House,0,
05149,2,House,0,
04001,1,House,6,
04003,8,House,15,
04005,1,House,16,
04005,2,House,0,
04007,1,House,6,
04009,1,House,1,
04011,1,House,0,
04013,2,House,739,
04013,3,House,477,
04013,4,House,215,
04013,5,House,598,
04013,6,House,406,
04013,7,House,48,
04015,2,House,44,
04017,1,House,7,
04017,2,House,2,
04019,7,House,25,
04019,8,House,6,
04023,7,House,1,
04023,8,House,1,
04025,1,House,19,
04025,2,House,0,
04027,7,House,21,
06003,3,House,9,
06009,3,House,11,
06017,4,House,23,
06023,1,House,21,
08001,2,House,0,
08001,7,House,0,
08003,3,,0,
08005,1,House,0,
08005,6,House,0,
08005,7,House,0,
08007,3,House,0,
08009,4,House,0,
08011,4,House,0,
08013,2,House,0,
08013,4,House,0,
08014,2,House,0,
08015,5,House,0,
08017,4,House,0,
08019,2,House,0,
08021,3,House,0,
08023,3,House,0,
08025,4,House,0,
08027,3,House,0,
08029,3,House,0,
08031,1,House,0,
08033,3,House,0,
08035,6,House,0,
08037,2,House,0,
08039,6,House,0,
08041,5,House,0,
08043,5,House,0,
08045,3,House,0,
08047,2,House,0,
08049,2,House,0,
08051,3,House,0,
08053,3,House,0,
08055,3,House,0,
08057,3,House,0,
08059,1,House,0,
08059,2,House,0,
08059,6,House,0,
08059,7,House,0,
08061,4,House,1,
08063,4,House,0,
08065,5,House,0,
08067,3,House,0,
08069,4,House,0,
08071,3,House,0,
08073,4,House,0,
08075,4,House,1,
08077,3,House,0,
08079,3,House,0,
08081,3,House,0,
08083,3,House,0,
08085,3,House,0,
08087,4,House,0,
08089,3,House,0,
08089,4,House,0,
08091,3,House,1,
08093,5,House,0,
08093,6,House,0,
08095,4,House,0,
08097,3,House,0,
08099,4,House,0,
08101,3,House,0,
08103,3,House,0,
08105,3,House,0,
08107,3,House,0,
08109,3,House,0,
08111,3,House,0,
08113,3,House,0,
08115,4,House,0,
08117,2,House,0,
08119,5,House,0,
08121,4,House,2,
08123,2,House,0,
08123,4,House,0,
08125,4,House,0,
35001,1,House,0,
35001,2,House,0,
35001,3,House,0,
35023,2,House,0,
35031,1,Senate,0,
35031,2,House,0,
35031,3,House,0,
35059,3,House,0,
32003,1,House,6,
32003,2,House,0,
32003,3,House,5,
32013,2,House,0,
51001,2,House,None,
51003,5,House,0,
51005,6,House,0,
51005,9,House,0,
51007,4,House,0,
51009,6,House,0,
51011,5,House,0,
51013,8,House,0,
51015,6,House,2,
51017,6,House,0,
51019,5,House,0,
51019,6,House,0,
51021,9,House,0,
51023,6,House,0,
51025,4,House,0,
51025,5,House,0,
51027,9,House,0,
51029,5,House,0,
51031,5,House,0,
51033,1,House,0,
51033,7,House,0,
51035,9,House,0,
51036,3,House,0,
51037,5,House,0,
51041,4,House,7,
51041,7,House,8,
51043,10,House,0,
51045,9,House,0,
51047,7,House,0,
51049,5,House,0,
51051,9,House,0,
51053,4,House,0,
51057,1,Senate,None,
51059,8,House,0,
51059,10,House,0,
51059,11,House,0,
51061,1,House,0,
51061,10,House,1,
51063,9,House,0,
51065,5,House,0,
51067,5,House,0,
51069,10,House,0,
51071,9,House,0,
51073,1,House,1,
51075,7,House,0,
51077,9,House,0,
51079,5,House,0,
51081,4,House,0,
51083,5,House,0,
51085,7,House,2,
51087,3,House,0,
51087,7,House,0,
51089,5,House,0,
51089,9,House,0,
51091,6,House,0,
51093,4,House,0,
51095,1,House,29,
51097,1,House,0,
51099,1,House,0,
51101,1,House,42,
51103,1,House,0,
51105,9,House,0,
51107,10,House,3,
51109,7,House,0,
51111,5,House,0,
51113,7,House,0,
51115,1,House,0,
51117,5,House,0,
51119,1,House,0,
51121,9,House,0,
51125,5,House,0,
51127,3,House,0,
51131,2,House,0,
51133,1,House,1,
51135,4,House,0,
51137,7,House,0,
51139,7,House,4,
51141,9,House,1,
51143,5,House,0,
51145,4,House,0,
51147,5,House,0,
51149,3,House,0,
51149,4,House,0,
51153,1,House,0,
51153,10,House,0,
51153,11,House,0,
51155,9,House,0,
51157,7,House,0,
51159,1,House,0,
51161,6,House,0,
51161,9,House,0,
51163,6,House,1,
51165,6,House,1,
51167,9,House,0,
51169,9,,0,
51171,6,House,0,
51173,9,House,0,
51175,4,House,0,
51177,1,House,0,
51177,7,House,0,
51179,1,House,0,
51181,3,House,0,
51183,4,House,0,
51185,9,House,1,
51187,10,House,0,
51191,9,House,0,
51193,1,House,0,
51195,9,House,0,
51197,9,House,1,
51199,1,House,2,
51510,8,House,2,
51515,5,House,0,
51520,9,House,0,
51530,6,House,0,
51540,5,House,0,
51550,4,House,0,
51570,4,House,0,
51580,6,House,0,
51580,9,House,0,
51590,5,House,1,
51595,4,House,0,
51600,11,Senate,0,
51610,8,House,0,
51620,4,House,0,
51630,1,House,0,
51640,9,House,0,
51650,1,House,0,
51650,2,House,0,
51650,3,House,0,
51660,6,House,0,
51670,4,House,0,
51678,6,House,0,
51680,6,House,0,
51683,10,House,0,
51685,10,House,0,
51690,5,House,2,
51700,1,House,0,
51700,3,House,0,
51710,2,House,0,
51710,3,,0,
51720,9,House,0,
51730,4,House,0,
51735,1,House,0,
51740,3,House,0,
51750,9,House,0,
51760,3,House,0,
51760,7,House,0,
51770,6,House,0,
51775,6,House,0,
51790,6,House,0,
51800,4,House,5,
51810,2,House,0,
51820,6,House,0,
51830,1,House,0,
51840,10,House,0,
53001,4,House,0,
53001,5,House,0,
53003,16,Senate,None,
53003,5,House,17,
53005,4,House,6,
53007,4,House,2,
53009,6,House,2,
53011,3,House,5,
53013,5,House,1,
53015,3,House,2,
53017,4,House,0,
53019,5,House,2,
53021,4,House,0,
53023,5,House,0,
53025,4,House,0,
53027,6,House,3,
19000,1,House,66,
19000,2,House,24,
19000,3,House,6,
19000,4,House,30,
19000,5,House,73,
16001,1,House,96,
16001,2,House,96,
16005,2,House,24,
16011,2,House,27,
16013,2,House,13,
16017,1,House,15,
16019,2,House,122,
16027,1,House,89,
16031,2,House,55,
16035,1,House,42,
16039,2,House,0,
16041,2,House,13,
16043,2,House,1,
16045,1,House,0,
16047,2,House,7,
16051,2,House,21,
16053,2,House,2,
16055,1,House,35,
16057,1,House,27,
16059,2,House,1,
16065,2,House,3,
16067,2,House,30,
16069,1,House,31,
16071,2,House,3,
16075,1,House,0,
16077,2,House,0,
16079,1,House,26,
16083,2,House,29,
16085,1,House,6,
17001,17,House,2,
17001,18,House,1,
17009,18,House,0,
17011,11,House,1,
17015,16,House,0,
17017,18,House,108,
17019,15,House,8,
17021,19,House,1,
1703012,13,House,0,
1703012,14,House,1,
17031,1,House,37,
17031,2,House,123,
17031,3,House,87,
17031,4,House,20,
17031,5,,20,
17031,6,,27,
17031,7,House,37,
17031,8,House,49,
17031,9,House,93,
17031,10,House,58,
17031,13,House,14,
17041,15,House,1,
17043,6,House,5,
17043,13,House,1928,
17043,14,House,197,
17045,15,House,1,
17059,19,House,2,
17065,19,House,1,
17067,17,House,1,
17071,17,House,1,
17073,14,House,2,
17073,17,House,3,
17077,12,House,1,
17081,19,House,1,
17085,16,House,3,
17089,14,House,1,
17093,14,House,8,
17095,17,House,1,
17097,8,House,32,
17099,11,House,8,
17101,15,House,1,
17107,18,House,4,
17111,8,House,2,
17111,16,House,5,
17113,11,House,0,
17113,15,House,1,
17117,17,House,21,
17119,12,House,3861,
17119,17,House,40,
17119,19,House,628,
17121,19,House,1,
17123,18,House,2,
17129,18,House,1,
17131,17,House,2,
17135,17,House,0,
17135,19,House,1,
17137,18,House,0,
17139,15,House,0,
17141,16,House,1,
17143,18,House,0,
17145,12,House,0,
17147,15,House,0,
17155,18,House,0,
17163,12,House,3,
17167,17,House,0,
17167,18,House,0,
17171,18,House,2,
17173,17,House,0,
17173,19,House,1,
17179,18,House,1,
17181,12,House,0,
17183,15,House,None,
17185,15,House,3,
17185,19,House,0,
1718563,15,House,222,
17193,19,House,1,
17195,14,House,0,
17195,16,House,0,
17195,17,House,0,
17197,2,House,0,
17199,12,House,13,
17199,19,House,0,
17201,16,House,None,
17203,18,House,254,
1759000,18,House,0,
1765000,16,House,9,
38001,1,House,0,
38003,1,House,0,
38005,1,House,0,
38007,1,House,0,
38009,1,House,0,
38011,1,House,1,
38013,1,House,0,
38015,1,House,5,
38017,1,House,11,
38019,1,House,0,
38021,1,House,0,
38023,1,House,0,
38025,1,House,0,
38027,1,House,0,
38029,1,House,1,
38031,1,House,0,
38033,1,House,0,
38035,1,House,1,
38037,1,House,8,
38039,1,House,0,
38041,1,House,0,
38043,1,House,0,
38045,1,House,1,
38047,1,House,21,
38049,1,House,0,
38051,1,House,1,
38053,1,House,0,
38055,1,House,0,
38057,1,House,0,
38059,1,House,0,
38061,1,House,1,
38063,1,House,1,
38065,1,House,0,
38067,1,House,0,
38069,1,House,1,
38071,1,House,1,
38073,1,House,1,
38075,1,House,0,
38077,1,House,1,
38079,1,House,2,
38081,1,House,0,
38083,1,House,1,
38085,1,House,0,
38087,1,House,1,
38089,1,House,4,
38091,1,House,0,
38093,1,House,0,
38095,1,House,0,
38097,1,House,0,
38099,1,House,1,
38101,1,House,4,
38103,1,House,0,
38105,1,House,1,
31001,3,House,4,
31003,3,House,5,
31011,3,House,1,
31013,3,House,5,
31017,3,House,0,
31019,3,House,5,
31023,1,House,3,
31025,1,House,10,
31027,1,House,2,
31027,3,House,11,
31031,3,House,2,
31033,3,House,1,
31037,1,House,5,
31041,3,House,2,
31043,1,House,1,
31047,3,House,8,
31049,3,House,1,
31051,1,House,1,
31053,1,House,9,
31055,2,House,203,
31057,3,House,1,
31059,3,House,2,
31063,3,House,None,
31065,3,House,2,
31067,1,House,5,
31069,3,House,2,
31073,3,House,1,
31079,3,House,17,
31081,3,House,1,
31089,3,House,2,
31093,3,House,2,
31097,1,House,3,
31101,3,House,2,
31103,3,House,0,
31107,3,House,1,
31109,3,House,35,
31111,3,House,11,
31115,3,House,1,
31119,1,House,7,
31129,3,House,3,
31131,1,House,4,
31137,3,House,3,
31139,3,House,3,
31141,3,House,5,
31145,3,House,3,
31151,3,House,3,
31153,1,House,2,
31153,2,House,37,
31155,1,House,5,
31157,3,House,3,
31159,1,House,6,
31161,3,House,1,
31163,3,House,1,
31169,3,House,2,
31173,1,House,1,
31177,1,House,3,
31179,1,House,0,
31181,3,House,1,
31185,3,House,3,
40009,3,House,1,
40017,3,House,1,
40019,4,House,3,
40021,2,House,2,
40025,3,House,11,
40027,4,House,11,
40031,4,House,2,
40033,4,House,1,
40035,2,House,1,
40037,1,House,1,
40037,3,House,4,
40039,3,House,2,
40041,2,House,2,
40047,3,House,3,
40051,4,House,1,
40053,3,House,1,
40071,3,House,2,
40075,3,House,1,
40081,3,House,2,
40083,3,House,1,
40089,2,House,2,
12001,6,House,3,
12003,4,House,0,
12007,6,House,0,
12009,15,House,3,
12009,24,House,1,
12011,17,House,2,
12011,21,House,0,
12011,22,House,6,
12015,13,House,0,
12015,14,House,0,
12015,16,House,0,
12017,5,House,5,
12019,6,House,0,
12021,14,House,1,
12021,25,House,0,
12023,4,House,0,
12027,13,House,1,
12031,4,House,1,
12033,1,House,2,
12035,7,House,1,
12041,6,House,0,
12043,16,House,1,
12047,4,House,0,
12049,13,House,0,
12051,16,House,0,
12053,5,House,8,
12055,16,House,8,
12057,9,House,2,
12057,11,House,8,
12057,12,House,0,
12059,1,House,1,
12061,15,House,3,
12065,4,House,0,
12069,5,House,0,
12069,6,House,0,
12069,8,House,0,
12071,14,House,4,
12073,4,House,0,
12075,5,House,2,
12075,6,House,0,
12079,4,House,1,
12081,13,House,5,
12081,11,House,0,
12083,5,House,2,
12083,6,House,11,
12083,8,House,2,
12085,16,House,2,
12086,17,House,10,
12086,18,House,29,
12086,21,House,13,
12086,25,House,21,
12087,18,House,1,
12087,25,House,0,
12089,4,House,0,
12091,1,House,0,
12093,16,House,1,
12095,7,House,0,
12095,8,House,15,
12095,24,House,4,
12097,8,House,2,
12097,12,House,0,
12097,15,House,0,
12099,16,House,10,
12099,22,House,64,
12101,5,House,1,
12101,9,House,1,
12103,9,House,3,
12103,10,House,10,
12103,11,House,1,
12105,12,House,8,
12105,5,House,0,
12105,15,House,0,
12107,7,House,0,
12109,7,House,6,
12111,16,House,1,
12113,1,House,1,
12115,13,House,1,
12117,7,House,1,
12117,24,House,1,
12119,5,House,0,
12127,7,House,3,
12127,24,House,3,
12131,1,House,0,
12133,1,House,0,
15001,2,House,2,
15003,1,House,34,
15003,2,House,12,
15007,2,House,5,
19001,5,House,2,
19005,4,House,None,
19009,5,House,1,
19013,1,House,11,
19015,4,House,1,
19017,1,House,2,
19021,5,House,5,
19023,1,House,None,
19027,5,House,1,
19029,5,House,1,
19031,2,House,1,
19033,4,House,5,
19035,5,House,1,
19039,5,House,2,
24000,1,House,13,
24000,2,House,19,
24000,3,House,15,
24000,4,House,0,
24000,5,House,0,
24000,6,House,7,
24000,7,House,3,
24000,8,House,5,
10001,1,House,9,
10003,1,House,11,
10005,3,Senate,None,
10005,1,House,5,
29033,6,House,2,
29035,8,House,4,
29037,5,House,2,
29037,4,House,2,
29041,6,House,0,
29043,7,House,0,
29045,9,House,0,
29047,6,House,0,
29051,4,House,4,
29053,6,House,0,
29055,9,House,4,
29057,4,House,0,
29059,4,House,5,
29061,6,House,0,
29063,6,House,0,
29065,8,House,0,
29067,8,House,1,
29069,8,House,1,
29071,9,House,0,
29073,9,House,7,
29075,6,House,0,
29077,7,House,26,
29079,6,House,0,
29081,6,House,0,
29083,4,House,0,
29085,4,House,None,
29087,6,House,0,
29089,6,House,0,
29091,8,House,1,
29093,8,House,0,
29095,4,House,4,
29095,5,House,102,
29095,6,House,14,
29097,7,House,0,
29099,3,House,6,
29101,4,House,0,
29103,9,House,0,
29105,4,House,11,
29107,4,House,4,
29109,7,House,0,
29111,9,House,0,
29113,2,House,2,
29115,6,House,1,
29117,6,House,4,
29119,7,House,0,
29121,9,House,1,
29123,8,House,0,
29125,9,House,0,
29127,9,House,0,
29129,6,House,0,
29131,9,House,3,
29133,8,House,0,
29135,4,House,1,
44001,1,House,12,
44001,2,House,54,
44003,2,House,12,
44005,1,House,20,
44007,119,Senate,None,
44007,1,House,85,
44007,2,House,35,
40109,4,House,2,
40109,5,House,36,
29139,9,House,0,
29141,4,House,23,
29143,8,House,11,
29145,7,House,17,
29147,6,House,1,
29149,8,House,0,
29151,9,House,0,
29153,8,House,0,
29155,8,House,0,
29157,8,House,1,
29159,4,House,0,
29161,8,House,4,
29163,9,House,0,
29165,6,House,1,
29167,7,House,6,
29169,4,House,0,
29171,6,House,0,
29173,9,House,0,
29175,9,House,0,
29177,6,House,0,
29179,8,House,0,
29181,8,House,0,
29183,2,House,0,
29183,9,House,0,
40111,2,House,2,
40113,3,House,2,
40117,3,House,1,
40119,3,House,1,
40121,2,House,3,
40125,5,House,6,
40131,2,House,4,
40133,5,House,2,
40135,2,House,1,
40137,4,House,3,
40143,1,House,36,
40145,1,House,10,
40147,1,House,5,
40153,3,House,1,
41001,2,House,1,
41003,4,House,1,
41003,5,House,2,
41005,3,House,3,
41005,5,House,6,
41007,1,House,2,
41009,1,House,1,
41011,4,House,8,
41013,2,House,1,
41015,4,House,1,
41017,2,House,21,
41019,4,House,4,
41021,2,House,0,
41023,2,House,3,
41025,2,House,0,
41027,2,House,0,
41029,2,House,73,
41031,2,House,20,
41033,2,House,6,
41033,4,House,2,
41035,2,House,2,
41037,2,House,26,
41039,4,House,39,
41041,5,House,10,
41043,4,House,8,
41045,2,House,1,
41047,5,House,43,
41049,2,House,3,
41051,1,House,46,
41051,3,House,204,
41051,5,House,22,
41053,5,House,31,
41055,2,House,5,
41057,5,House,3,
41059,2,House,0,
41061,2,House,10,
41063,2,House,0,
41065,2,House,2,
41067,1,House,40,
41069,2,House,3,
41071,1,House,9,
19045,1,House,8,
19047,5,House,1,
19049,1,House,4,
19051,2,House,1,
19057,2,House,7,
19059,5,House,3,
19061,1,House,5,
19063,4,House,2,
19079,4,House,1,
19081,4,House,1,
19083,4,House,1,
19091,4,House,1,
19093,5,House,2,
19095,3,House,1,
19097,1,House,1,
19101,2,House,1,
19103,2,House,5,
19105,1,House,16,
19107,2,House,2,
19109,4,House,1,
19111,2,House,6,
19119,5,House,None,
19121,4,House,2,
19125,3,House,3,
19127,4,House,3,
19131,4,House,1,
19137,5,House,None,
19139,2,House,2,
19141,5,House,1,
19145,5,House,2,
19147,5,House,1,
19155,5,House,36,
19163,1,House,19,
19165,5,House,8,
19173,5,House,2,
19177,2,House,1,
19187,4,House,6,
29001,9,House,1,
29003,6,House,1,
29005,6,House,0,
29007,9,House,0,
29009,7,House,0,
29011,4,House,0,
29013,4,House,0,
29015,4,House,0,
29017,8,House,5,
29019,9,House,4,
29021,6,House,14,
29023,8,House,69,
29025,6,House,0,
29027,9,House,10,
29029,9,House,0,
29029,4,House,0,
29031,8,House,1,
40097,2,House,3,
40099,4,House,1,
40101,2,House,1,
40103,3,House,1,
