q35_%dr,q35_%dd,q35_%dp,q35_%dc,q35_%dtotal,Col006
29219,House,9,Progressive Party of Missouri,Hastings,104
29221,Senate,None,Republican,Talent,2942
29221,Senate,None,Democratic,McCaskill,4223
29221,Senate,None,Libertarian,Gilmour,195
29221,Senate,None,Progressive Party of Missouri,Lewis,72
29221,House,8,Republican,Emerson,4227
29221,House,8,Democratic,Hambacker,3011
29221,House,8,Libertarian,McCullough,165
29223,Senate,None,Republican,Talent,2678
29223,Senate,None,Republican,McCaskill,2394
29223,Senate,None,Libertarian,Gilmour,142
29223,Senate,None,Progressive Party of Missouri,Lewis,49
29223,House,9,Republican,Emerson,3656
29223,House,8,Democratic,Hambacker,1546
29223,House,8,Libertarian,McCullough,81
29225,Senate,None,Republican,Talent,7107
29225,Senate,None,Democratic,McCaskill,4862
29225,Senate,None,Libertarian,Gilmour,548
29225,Senate,None,Progressive Party of Missouri,Lewis,182
29225,House,4,Republican,Noland,5275
29225,House,4,Democratic,Skelton,6765
29225,House,4,Libertarian,Holthouse,350
29227,Senate,None,Republican,Talent,533
29227,Senate,None,Democratic,McCaskill,415
29227,Senate,None,Libertarian,Gilmour,42
29227,Senate,None,Progressive Party of Missouri,Lewis,28
29227,Senate,None,Write-in/Scattering,Barrett,1
29227,Senate,None,Write-in/Scattering,Shortland,1
29227,House,6,Republican,Graves,710
29227,House,6,Democratic,Shettles,276
29227,House,6,Progressive Party of Missouri,Yurkonis,12556
29229,Senate,None,Republican,Talent,4273
29229,Senate,None,Democratic,McCaskill,2338
29229,Senate,None,Libertarian,Gilmour,250
29229,Senate,None,Alaska Libertarian,Barrett,0
29229,Senate,None,Write-in/Scattering,Shortland,0
29229,House,8,Republican,Emerson,5480
29229,Senate,0,Progressive Party of Missouri,Lewis,82
29229,House,8,Alaska Libertarian,Hambacker,1309
29229,House,8,Libertarian,McCullough,157
29510,Senate,None,Republican,Talent,18135
29510,Senate,None,Democratic,McCaskill,75183
29510,Senate,None,Libertarian,Gilmour,1143
29510,Senate,None,Progressive Party of Missouri,Lewis,585
29510,Senate,None,Write-in/Scattering,Barrett,0
29510,Senate,None,Write-in/Scattering,Shortland,0
29510,House,1,Alaska Libertarian,Byrne,3064
29510,House,1,Democratic,Clay,37061
29510,House,1,Libertarian,Cunningham,932
29510,House,3,Republican,Bertelsen,10610
29510,House,3,Democratic,Carnahan,39541
29510,House,3,Libertarian,Christophel,1183
29510,House,3,Progressive Party of Missouri,Sladky,562
28001,House,3,Independent,Jim Giles,1770
28001,House,3,Reform,Lamonica Magee,482
28001,House,3,Republican,Charles Pickering,3955
28001,Senate,None,Democratic,Erik Fleming,3470
28001,Senate,None,Republican,Trent Lott,3512
28001,Senate,None,Libertarian,Harold Monroe Taylor,72
28003,Senate,None,Democratic,Erik Fleming,2417
28003,Senate,None,Republican,Trent Lott,5240
28003,Senate,None,Libertarian,Harold M. Taylor,164
28003,House,1,Democratic,James K. Hurt,2580
28003,House,1,Republican,Roger F. Wicker,5106
28005,Senate,None,Democratic,Erik R. Fleming,1705
28005,Senate,None,Republican,Trent Lott,2625
28005,Senate,None,Libertarian,Harold M. Taylor,85
28007,House,2,Republican,Yvonne R.,2541
28007,House,2,Democratic,Bennie G. Thompson,2312
28009,Senate,2,Republican,Margaret Delashmit,619
28009,Senate,2,Democratic,Ralph H. Doxey,217
28009,Senate,4,Republican,Brandon D. Colom,16
28009,Senate,4,Democratic,Greg Ward,37
28009,House,5,Democratic,Kelvin Buck,353
28009,House,13,Democratic,Jack Gadd,205
28009,Senate,2,Republican,Margaret Dalashmit,619
28009,Senate,2,Democratic,Ralph H. Doxey,217
28009,,None,Alaska Libertarian,Brandon Colom,None
28013,Senate,1,Democratic,"Fleming, Erik R.",903
28013,Senate,1,Republican,"Lott, Trent",1978
28013,Senate,1,Libertarian,"Taylor, Harold M.",32
28013,House,1,Democratic,"Hurt, James K.",893
28013,House,1,Republican,"Wicker, Roger F.",1984
28015,Senate,None,Democratic,Erik R. Fleming,1022
28015,Senate,None,Republican,Trent Lott,2421
28015,Senate,None,Libertarian,Harold M. Taylor,39
28015,House,2,Republican,Yvonne R. Brown,1394
28015,House,2,Democratic,Bennie Thompson,1384
28017,Senate,None,Democratic,Erik R. Fleming,1678
28017,Senate,None,Republican,Trent Lott,1947
28017,Senate,None,Libertarian,Harold M. Taylor,50
28017,House,1,Democratic,James K. Hurt,1701
28017,House,1,Republican,Roger F. Wicker,None
28019,House,1,Democratic,James Kenneth Hurt,702
28019,House,1,Republican,Roger F. Wicker,1515
28019,Senate,None,Democratic,Erik R. Fleming,696
28019,Senate,None,Republican,Trent Lott,1517
28019,Senate,None,Libertarian,Harold Monroe Taylor,38
28021,House,2,Republican,Yvonne Brown,549
28021,House,2,Democratic,Bennie G. Thompson,2601
28021,Senate,None,Democratic,Erik R. Fleming,2256
28021,Senate,None,Republican,Trent Lott,798
28021,Senate,None,Libertarian,Harold Monroe Taylor,38
28023,Senate,None,Democratic,Erik Fleming,1372
28023,Senate,None,Republican,Trent Lott,2907
28023,Senate,None,Libertarian,Harold M. Taylor,76
28023,House,4,Republican,Randy McDonnell,1432
28023,House,4,Democratic,Gene Taylor,2812
28025,House,1,Democratic,James Kenneth Hurt,2720
28025,House,1,Republican,Roger F. Wicker,3084
28025,Senate,None,Democratic,Erik R. Fleming,2787
28025,Senate,None,Republican,Trent Lott,3002
28025,Senate,None,Libertarian,Harold Monroe Taylor,104
28027,House,2,Democratic,Bennie Thompson,3789
28027,House,2,Republican,Trent Lott,2685
28027,House,2,Republican,Yvonne Brown,1967
28027,Senate,None,Democratic,Erik R. Fleming,2921
28027,Senate,None,Libertarian,Harold Monroe Taylor,114
28029,Senate,None,Democratic,Erik R. Fleming,3342
28029,Senate,None,Republican,Trent Lott,4654
28029,Senate,None,Libertarian,Harold M. Taylor,109
28029,House,2,Republican,Yvonne R. Brown,3568
28029,House,2,Democratic,Bennie Thompson,4512
28031,House,3,Independent,Jim Giles,824
28031,House,3,Reform,Lamonica Magee,419
28031,House,3,Republican,Charles Pickering,3512
28031,Senate,None,Democratic,Erik Fleming,1510
28031,Senate,None,Republican,Trent Lott,3264
28031,Senate,None,Libertarian,Harold Monroe Taylor,89
28033,House,1,Democratic,James Kenneth Hurt,4727
28033,House,1,Republican,Roger F. Wicker,14209
28033,Senate,1,Democratic,Erik R. Fleming,4457
28033,Senate,1,Republican,Trent Lott,14165
28033,Senate,1,Libertarian,Harold Monroe Taylor,359
28035,Senate,None,Democratic,Erik R. Fleming,4031
28035,Senate,None,Republican,Trent Lott,9752
28035,Senate,None,Libertarian,Harold M. Taylor,246
28035,House,None,Republican,R.L. McDonnel,2864
28035,House,None,Democratic,Gary Taylor,11013
28037,Senate,None,Democratic,Erik R. Fleming,850
28037,Senate,None,Republican,Trent Lott,1944
28037,Senate,None,Libertarian,Harold M. Taylor,34
28037,House,3,Independent,Jim Giles,387
28037,House,3,Reform,Lamonica Magee,215
28037,House,3,Republican,Chip Pickering,2055
28039,House,4,Republican,R.L. McDonnell,690
28039,House,4,Democratic,Gary Eugene Taylor,2943
28039,Senate,4,Democratic,Erik R. Fleming,537
28039,Senate,4,Republican,Trent Lott,3076
28039,Senate,4,Libertarian,Harold Monroe Taylor,63
28041,House,4,Republican,R.L. McDonnell,582
28041,House,4,Democratic,Gary Eugene Taylor,2930
28041,Senate,4,Democratic,Erik R. Fleming,666
28041,Senate,4,Republican,Trent Lott,2807
28041,Senate,4,Libertarian,Harold Monroe Taylor,78
28043,House,1,Democratic,James Kenneth Hurt,1883
28043,House,1,Republican,Roger F. Wicker,3434
28043,Senate,None,Democratic,Erik R. Fleming,1816
28043,Senate,None,Republican,Trent Lott,3498
28043,Senate,None,Libertarian,Harold Monroe Taylor,71
28045,House,4,Republican,R.L. McDonnell,1191
28045,House,4,Democratic,Gary Eugene Taylor,6466
28045,Senate,4,Democratic,Erik R. Fleming,1329
28045,Senate,4,Republican,Trent Lott,6166
28045,Senate,4,Libertarian,Harold Monroe Taylor,160
28047,Senate,None,Democratic,Erik R. Fleming,6066
28047,Senate,None,Republican,Trent Lott,20722
28047,Senate,None,Libertarian,Harold M. Taylor,457
28047,House,4,Democratic,Gene Taylor,23523
28047,House,4,Republican,Randy McDonell,3667
28049,Senate,None,Democratic,Erik R. Fleming,32965
28049,Senate,None,Republican,Trent Lott,24044
28049,Senate,None,Libertarian,Harold Taylor,832
28049,House,2,Republican,Yvonne R. Brown,14322
28049,House,2,Democratic,Bennie Thompson,33871
28049,House,3,Independent,Jim Giles,1122
28049,House,3,Reform,Lamonica McGee,512
28049,House,3,Republican,Chip Pickering,8128
28051,Senate,None,Democratic,Erik Fleming,3339
28051,Senate,None,Republican,Trent Lott,1387
28051,Senate,None,Libertarian,Harold M. Taylor,113
28051,House,2,Republican,Yvonne R. Brown,1151
28051,House,2,Democratic,Bennie Thompson,3779
28053,House,2,Republican,Yvonne Brown,674
28053,House,2,Democratic,Bennie G. Thompson,1877
28053,Senate,None,Democratic,Erik R. Fleming,1546
28053,Senate,None,Republican,Trent Lott,975
28053,Senate,None,Libertarian,Harold Monroe Taylor,43
28055,Senate,None,Democratic,Erik R. Fleming,334
28055,Senate,None,Republican,Trent Lott,275
28055,Senate,None,Libertarian,Harold M. Taylor,6
28055,House,None,Republican,Yvonne R. Brown,211
28055,House,None,Democratic,Bennie Thompson,402
28057,House,1,Democratic,James Kenneth Hurt,1285
28057,House,1,Republican,Roger F. Wicker,3234
28057,Senate,None,Democratic,Erik R. Fleming,1217
28057,Senate,None,Republican,Trent Lott,3265
28057,Senate,None,Libertarian,Harold Monroe Taylor,73
28059,Senate,None,Democratic,Erik Fleming,4250
28059,Senate,None,Republican,Trent Lott,18029
28059,Senate,None,Libertarian,Harold M. Taylor,345
28059,House,4,Republican,R.L. McDonnell,4003
28059,House,18508,Democratic,Gene Taylor,None
28061,House,3,Independent,Jim Giles,323
28061,House,3,Reform,Lamonica Magee,103
28061,House,3,Republican,Charles Pickering,931
28061,House,4,Republican,R.L. McDonnel,402
28061,House,4,Democratic,Gary Taylor,1923
28061,Senate,None,Democratic,Erik Fleming,1777
28061,Senate,None,Republican,Trent Lott,1952
28061,Senate,None,Libertarian,Harold Monroe Taylor,54
28063,House,2,Republican,Yvonne Brown,372
28063,House,2,Democratic,Bennie G. Thompson,2462
28063,Senate,None,Democratic,Erik R. Fleming,2117
28063,Senate,None,Republican,Trent Lott,682
28063,Senate,None,Libertarian,Harold Monroe Taylor,43
28065,House,2,Independent,Jim Giles,1152
28065,House,2,Reform,Lamonica Magee,443
28065,House,2,Republican,Charles Pickering,2182
28065,Senate,None,Democratic,Erik R. Fleming,1993
28065,Senate,None,Republican,Trent Lott,1954
28065,Senate,None,Libertarian,Harold Monroe Taylor,59
28067,Senate,None,Democratic,Erik Fleming,3375
28067,Senate,None,Republican,Trent Lott,10979
28067,Senate,None,Libertarian,Harold M. Taylor,224
28067,House,3,Independent,Jim Giles,106
28067,House,3,Reform,Lamonica Magee,29
28067,House,3,Republican,Chip Pickering,459
28067,House,4,Republican,Randy McDonnell,3283
28067,House,4,Democratic,Gene Taylor,10484
28069,Senate,None,Democratic,Erik R. Fleming,1286
28069,Senate,None,Republican,Trent Lott,1568
28069,Senate,None,Libertarian,Harold M. Taylor,77
28069,House,3,Independent,Jim Giles,594
28069,House,3,Reform,Lamonica Magee,228
28069,House,3,Republican,Chip Pickering,1970
28071,House,1,Democratic,James Kenneth Hurt,2760
28071,House,1,Republican,Roger F. Wicker,4576
28071,Senate,None,Democratic,Erik R. Fleming,2742
28071,Senate,None,Republican,Trent Lott,4502
28071,Senate,None,Libertarian,Harold Monroe Taylor,162
28073,Senate,None,Democratic,Erik R. Fleming,1694
28073,Senate,None,Republican,Trent Lott,10346
28073,Senate,None,Libertarian,Harold M. Taylor,179
28073,House,4,Republican,R.L. McDonnell,3448
28073,House,4,Democratic,Gene Taylor,8680
28075,Senate,None,Democratic,Erik R. Fleming,4205
28075,Senate,None,Republican,Trent Lott,12275
28075,Senate,None,Libertarian,Harold M. Taylor,242
28075,House,3,Independent,Jim Giles,1979
28075,House,3,Reform,Lamonica Magee,597
28075,House,3,Republican,Chip Pickering,13610
28077,House,3,Independent,Jim Giles,625
28077,House,3,Reform,Lamonica Magee,264
28077,House,3,Republican,Charles Pickering,2749
28077,Senate,None,Democratic,Erik R. Fleming,1230
28077,Senate,None,Republican,Trent Lott,2493
28077,Senate,None,Libertarian,Harold Monroe Taylor,54
28079,Senate,None,Democratic,Erik R. Fleming,1890
28079,Senate,None,Republican,Trent Lott,2752
28079,Senate,None,Libertarian,Harold M. Taylor,52
28079,House,2,Republican,Yvonne R. Brown,1120
28079,House,2,Democratic,Bennie Thompson,1535
28079,House,3,Republican,Chip Pickering,1481
28079,House,3,Independent,Jim Giles,259
28079,House,3,Reform,Lamonica L. Magee,69
28081,Senate,None,Democratic,Erik R. Fleming,3859
28081,Senate,None,Republican,Trent Lott,9063
28081,Senate,None,Libertarian,Harold M. Taylor,229
28081,House,1,Democratic,James K. Hurt,4041
28081,House,1,Republican,Roger F. Wicker,9063
28083,Senate,None,Democratic,Erik Fleming,3009
28083,Senate,None,Republican,Trent Lott,3262
28083,Senate,None,Libertarian,Harold M. Taylor,57
28083,House,2,Democratic,Bennie Thompson,3935
28083,House,2,Republican,Yvonne Brown,2561
28083,House,34,Nonpartisan,Marvin Cochran,173
28083,House,34,Nonpartisan,James Malcolm Vail,424
28083,House,34,Nonpartisan,Linda j. Whittington,631
28083,Senate,14,Nonpartisan,Jim Arnold,182
28083,Senate,14,Nonpartisan,Lydia Chassaniol,1792
28083,Senate,14,Nonpartisan,Hiram Chester Eastland,1029
28083,Senate,14,Nonpartisan,Jeffrey Ryan Hobgood,115
28083,Senate,14,Nonpartisan,Steven Karl Oliver,210
28083,Senate,14,Nonpartisan,John K Walker,47
28085,House,3,Independent,Jim Giles,1213
28085,House,3,Reform,Lamonica Magee,338
28085,House,3,Republican,Charles Pickering,5525
28085,Senate,None,Democratic,Erik Fleming,2034
28085,Senate,None,Republican,Trent Lott,5173
28085,Senate,76,Libertarian,Harold Monroe Taylor,None
28087,House,1,Democratic,James Kenneth Hurt,4310
28087,House,1,Republican,Roger F. Wicker,8855
28087,Senate,None,Democratic,Erik R. Fleming,4338
28087,Senate,None,Republican,Trent Lott,8800
28087,Senate,None,Libertarian,Harold Monroe Taylor,148
28091,Senate,None,Democratic,Erik R. Fleming,1773
28091,Senate,None,Republican,Trent Lott,4661
28091,Senate,None,Libertarian,Harold M. Taylor,113
28091,House,3,Independent,Jim Giles,490
28091,House,3,Reform,Lamonica Magee,93
28091,House,3,Republican,Chip Pickering,2028
28091,House,4,Republican,Randy McDonnell,997
28091,House,4,Democratic,Gene Taylor,2847
28093,Senate,None,Democratic,Erik Fleming,3999
28093,Senate,None,Republican,Trent Lott,3382
28093,Senate,None,Libertarian,Harold M. Taylor,195
28093,House,1,Democratic,James K. Hurt,3951
28093,House,1,Republican,Roger F. Wicker,3471
28095,Senate,None,Democratic,Erik R. Fleming,2567
28095,Senate,None,Republican,Trent Lott,4548
28095,Senate,None,Libertarian,Harold M. Taylor,82
28095,House,None,Republican,James K. Hurt,2625
28095,House,None,Alaska Libertarian,Roger F. Wicker,4544
28099,House,3,Independent,Jim Giles,553
28099,House,3,Reform,Lamonica Magee,192
28099,House,3,Republican,Charles Pickering,4073
28099,Senate,None,Democratic,Erik R. Fleming,996
28099,Senate,None,Republican,Trent Lott,3879
28099,Senate,None,Libertarian,Harold Monroe Taylor,63
28101,House,3,Independent,Jim Giles,427
28101,House,3,Reform,Lamonica Magee,110
28101,House,3,Republican,Charles Pickering,3390
28101,Senate,None,Democratic,Erik R. Fleming,920
28101,Senate,None,Republican,Trent Lott,3158
28101,Senate,None,Libertarian,Harold Monroe Taylor,43
28103,Senate,None,Democratic,Erik Fleming,1997
28103,Senate,None,Republican,Trent Lott,1422
28103,Senate,None,Libertarian,Harold M. Taylor,83
28103,House,None,Independent,Jim Giles,1008
28103,House,None,Reform,Lamonica L. Magee,308
28103,House,None,Republican,Chip Pickering,1758
28105,Senate,None,Democratic,Erik Fleming,4092
28105,Senate,None,Republican,Trent Lott,5234
28105,Senate,None,Libertarian,Harold Taylor,136
28107,House,1,Democratic,James Kenneth Hurt,2898
28107,House,1,Republican,Roger F. Wicker,3697
28107,Senate,None,Democratic,Erik R. Fleming,2858
28107,Senate,None,Republican,Trent Lott,3747
28107,Senate,None,Libertarian,Harold Monroe Taylor,85
28109,Senate,None,Democratic,Erik Fleming,2525
28109,Senate,None,Republican,Trent Lott,11318
28109,Senate,None,Libertarian,Harold M. Taylor,288
28109,House,4,Republican,Randy McDonnell,3874
28109,House,4,Democratic,Gene Taylor,10097
28111,Senate,None,Democratic,Erik R. Fleming,486
28111,Senate,None,Republican,Trent Lott,1969
28111,Senate,None,Libertarian,Harold M. Taylor,56
28111,House,4,Republican,R.L. McDonnel,409
28111,House,4,Democratic,Gene Taylor,2083
28113,House,3,Independent,Jim Giles,1833
28113,House,3,Reform,Lamonica Magee,1297
28113,House,3,Republican,Charles Pickering,5756
28113,Senate,None,Democratic,Erik R. Fleming,3708
28113,Senate,None,Republican,Trent Lott,5396
28113,Senate,131,Libertarian,Harold Monroe Taylor,None
28115,House,1,Democratic,James Kenneth Hurt,1176
28115,House,1,Republican,Roger F. Wicker,4431
28115,Senate,None,Democratic,Erik R. Fleming,1164
28115,Senate,None,Republican,Trent Lott,4411
28115,Senate,None,Libertarian,Harold Monroe Taylor,71
28117,House,1,Democratic,James Kenneth Hurt,1775
28117,House,1,Republican,Roger F. Wicker,4120
28117,Senate,None,Democratic,Erik R. Fleming,1676
28117,Senate,None,Republican,Trent Lott,4168
28117,Senate,None,Libertarian,Harold Monroe Taylor,108
28119,House,2,Republican,Yvonne Brown,686
28119,House,2,Democratic,Bennie G. Thompson,1392
28119,Senate,None,Democratic,Erik R. Fleming,1182
28119,Senate,None,Republican,Trent Lott,None
28119,Senate,None,Libertarian,Harold Monroe Taylor,40
28121,Senate,None,Republican,Trent Lott,22006
28121,Senate,None,Democratic,Erik R. Fleming,4814
28121,House,3,Republican,Chip Pickering,23299
28121,House,3,Independent,Jim Giles,2528
28121,Senate,None,Libertarian,Harold Monroe Taylor,416
28121,House,3,Reform,Lamonica L. Magee,838
28123,House,3,Independent,Jim Giles,1210
28123,House,3,Reform,Lamonica Magee,310
28123,House,3,Republican,Charles Pickering,1089
28123,Senate,None,Democratic,Erik Fleming,1688
28123,Senate,None,Republican,Trent Lott,1026
28123,Senate,None,Libertarian,Harold Monroe Taylor,54
28125,House,2,Republican,Yvonne Brown,477
28125,House,2,Democratic,Bennie G. Thompson,1170
28125,Senate,None,Democratic,Erik R. Fleming,900
28125,Senate,None,Republican,Trent Lott,707
28125,Senate,None,Libertarian,Harold Monroe Taylor,20
28127,House,3,Independent,Jim Giles,814
28127,House,3,Reform,Lamonica Magee,449
28127,House,3,Republican,Charles Pickering,4284
28127,Senate,None,Democratic,Erik R. Fleming,1703
28127,Senate,None,Republican,Trent Lott,4027
28127,Senate,None,Libertarian,Harold Monroe Taylor,74
28129,Senate,None,Democratic,Erik R. Fleming,720
28129,Senate,None,Republican,Trent Lott,3200
28129,Senate,None,Libertarian,Harold M. Taylor,57
28129,House,3,Independent,Jim Giles,423
28129,House,3,Reform,Lamonica Magee,151
28129,House,3,Republican,Chip Pickering,3343
28131,House,4,Republican,R.L. McDonnell,470
28131,House,4,Democratic,Gary Eugene Taylor,2731
28131,Senate,None,Democratic,Erik R. Fleming,669
28131,Senate,None,Republican,Trent Lott,2492
28131,Senate,None,Libertarian,Harold Monroe Taylor,58
28133,House,2,Republican,Yvonne Brown,1819
28133,House,2,Democratic,Bennie G. Thompson,3839
28133,Senate,None,Democratic,Erik R. Fleming,3073
28133,Senate,None,Republican,Trent Lott,2514
28133,Senate,None,Libertarian,Harold Monroe Taylor,66
28135,House,2,Republican,Yvonne Brown,1428
28135,Senate,2,Democratic,Bennie G. Thompson,2948
28135,Senate,None,Democratic,Erik R. Fleming,1991
28135,Senate,None,Republican,Trent Lott,2352
28135,Senate,None,Libertarian,Harold Monroe Taylor,92
28137,Senate,None,Democratic,Erik R. Fleming,1845
28137,Senate,None,Republican,Trent Lott,33495
28137,Senate,None,Libertarian,Harold M. Taylor,107
28137,House,1,Democratic,James K. Hurt,1926
28137,House,1,Republican,Roger F. Wicker,3453
28139,Senate,None,Democratic,Erik Fleming,1255
28139,Senate,None,Republican,Trent Lott,3625
28139,Senate,None,Libertarian,Harold Taylor,95
28139,House,None,Democratic,James K. Hurt,1457
28139,House,None,Republican,Roger F. Wicker,3460
28141,House,1,Democratic,James Kenneth Hurt,1631
28141,House,1,Republican,Roger F. Wicker,2649
28141,Senate,None,Democratic,Erik R. Fleming,1598
