id,state,county,place,q022004a,q022004a_nnn,q022004i,q022004i_nnn,q022004total,q022006a,q022006a_nnn,q022006i,q022006i_nnn,q022006total,q02comment,q03_nnn,q03comment,q03total,q04_nnn,q04comment,q04total,q05_nnn,q05comment,q05total,q06_nnn,q06comment,q06total,q07a,q07a_nnn,q07b,q07b_nnn,q07c,q07c_nnn,q07comment,q07d,q07d_nnn,q07e,q07e_nnn,q07total,q08a,q08a_nnn,q08b,q08b_nnn,q08c,q08c_nnn,q08comment,q08total,q09_nnn,q09comment,q09total,q25_nnn,q25comment,q25total,q26_nnn,q26comment,q26total,q27_nnn,q27comment,q27total,q28_nnn,q28comment,q28total,q29a,q29a_nnn,q29b,q29b_nnn,q29c,q29c_nnn,q29comment,q29d,q29d_nnn,q29e,q29e_nnn,q29f,q29f_nnn,q29fother,q29total
04027,Arizona,Yuma County,,53803,,12486,,66289,58626,,9604,,68230,,Check if your office does not collect this data,,None,,,21073,,,17471,,,3602,12308,,135,,122,,,41,,8467,,21073,1274,,6175,,96,,,7545,,,13528,,,5391,,,21065,,,5031,,,3266,1742,,778,,115,,,None,,1214,,1542,,Inactive registrants deleted after 4 years.,5391
05000,Arkansas,,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
05001,Arkansas,Arkansas County,,9867,,2347,,12214,9914,,1921,,11835,,,,None,,,1082,,,154,,,678,64,,25,,0,,,0,,161,,250,0,,783,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",783,,,483,,,424,Don't know,,None,Don't know,,None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,41,,237,,13,,,0,,4,,129,,"Duplicate Registrations, Conversion Issues",424
05003,Arkansas,Ashley County,,12751,,1257,,14008,11547,,1388,,12935,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2612,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",183,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2276,118,,6,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,29,,153,0,,2386,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",2386,,,312,,,250,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,52,Don't know,100,,57,,,0,,0,,41,,Duplicate Registration,250
05005,Arkansas,Baxter County,,26850,,485,,27335,26364,,1509,,27873,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5717,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",194,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2675,2724,,54,,10,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",12,,47,,2847,1,,4038,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",4039,,,2224,,,820,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",2779,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",2741,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",1776,319,,95,,0,,,0,,3,,11,,Duplicate Registration,428
05007,Arkansas,Benton County,,86641,,11137,,97778,80464,,14968,,95432,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",24173,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4872,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",9150,7710,,47,,5,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4,,2336,,10102,0,,20073,,8,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",20081,,,7931,,,1304,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",15544,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",2649,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",12895,286,,436,,53,,,0,,7,,516,,"Conversion Issue, Duplicate Registration, Mental Incom. Judgement",1298
05009,Arkansas,Boone County,,19368,,2820,,22188,19874,,2345,,22219,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4233,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",721,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3087,225,,16,,9,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",8,,142,,400,0,,3525,,1,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",3526,,,1451,,,400,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,53,,231,,21,,,1,,2,,92,,Duplicate Registration,400
05011,Arkansas,Bradley County,,6228,,391,,6619,5960,,298,,6258,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1613,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",202,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1149,110,,114,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,25,,250,0,,None,Don't know,2,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",2,,,197,,,212,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",299,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",48,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",125,23,,88,,18,,,0,,2,,81,,Duplicate Registration,212
05013,Arkansas,Calhoun County,,3773,,196,,3969,3633,,181,,3814,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",719,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",71,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",608,12,,5,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,1,,19,0,,618,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",618,,,173,,,208,Don't know,,None,Don't know,,None,Don't know,,None,26,,121,,30,,,0,,0,,29,,Duplicate Registration,206
05015,Arkansas,Carroll County,,12882,,2073,,14955,12234,,2203,,14437,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1481,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",269,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",922,113,,96,,5,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,74,,288,26,,828,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",854,,,931,,,244,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,92,,95,,26,,,3,,0,,28,,Duplicate Registration,244
05017,Arkansas,Chicot County,,7329,,863,,8192,6635,,1366,,8001,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",558,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",123,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",310,10,,88,,1,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,10,,110,0,,393,,1,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",394,,,285,,,237,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,31,,97,,39,,,0,,1,,69,,"Duplicate Registration, Mental Incomp. Judgement",237
05019,Arkansas,Clark County,,12171,,1182,,13353,12189,,416,,12605,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1702,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",301,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",715,107,,10,,4,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",6,,555,,682,0,,1129,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",1129,,,966,,,857,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,137,,148,,38,,,498,,2,,34,,Duplicate Registration,857
05021,Arkansas,Clay County,,10379,,503,,10882,10338,,404,,10742,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",7283,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",159,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5759,1300,,43,,9,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",10,,3,,1365,0,,6898,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",6898,,,541,,,None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,29,,181,,2,,,0,,1,,49,,Duplicate Registration,262
05023,Arkansas,Cleburne County,,15573,,856,,16429,16820,,772,,17592,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2079,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",232,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",763,1016,,17,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,38,,1071,0,,1583,,1,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",1584,,,1141,,,556,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",1760,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",879,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",44,64,,230,,14,,,7,,0,,238,,"Duplicate Registration, Conversion Issue",553
05025,Arkansas,Cleveland County,,4911,,547,,5458,4478,,981,,5459,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1185,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",260,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",699,52,,34,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,140,,226,1,,1118,,2,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",1121,,,441,,,174,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,65,,62,,30,,,0,,0,,17,,Duplicate Registration,174
05027,Arkansas,Columbia County,,16976,,261,,17237,16697,,229,,16926,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2865,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",113,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",697,1978,,16,,3,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,56,,2053,0,,2669,,1,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",2670,,,359,,,306,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,34,,142,,14,,,0,,1,,14,,Duplicate Registration,205
05029,Arkansas,Conway County,,11849,,1571,,13420,12133,,1502,,13635,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",13783,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1668,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",10889,428,,98,,15,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",26,,606,,1173,0,,13350,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",13350,,,930,,,398,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",968,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,17,,167,,28,,,0,,1,,185,,Duplicate Registration,398
05031,Arkansas,Craighead County,,47882,,4771,,52653,45576,,5641,,51217,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",10004,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1775,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5705,2176,,184,,24,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",17,,119,,2520,0,,8906,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",8906,,,1792,,,1219,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,312,,615,,44,,,0,,None,Don't know,247,,Duplicate Registration,1218
05033,Arkansas,Crawford County,,24699,,2457,,27156,24604,,3060,,27664,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3657,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",852,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2250,436,,9,,1,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5,,100,,551,0,,2709,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",2709,,,1927,,,659,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",1613,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,153,,205,,25,,,10,,5,,261,,"Duplicate Registration, Mental Incomp. Judgement",659
